id,title,type,release_year,runtime,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts20339,One Piece,SHOW,1999,23,"animation, action, comedy, drama, fantasy",JP,8.8,117129.0,143.457,8.764
ts5145,The Challenge,SHOW,1998,40,"reality, comedy, drama, scifi",US,7.8,3362.0,18.075,7.7
tm191110,Titanic,MOVIE,1997,194,"drama, romance",US,7.9,1146825.0,155.683,7.878
ts34435,Cowboy Bebop,SHOW,1998,25,"animation, action, scifi, western, comedy, drama, thriller",JP,8.9,115448.0,35.402,8.522
tm192037,Starship Troopers,MOVIE,1997,129,"scifi, action, thriller",US,7.3,291452.0,29.5,6.993
tm27395,Mission: Impossible II,MOVIE,2000,123,"thriller, action",US,6.1,337987.0,29.392,6.1
tm113513,Dumb and Dumber,MOVIE,1994,107,comedy,US,7.3,379999.0,31.852,6.6
ts20983,Neon Genesis Evangelion,SHOW,1995,24,"drama, scifi, animation, action, fantasy, thriller",JP,8.5,66629.0,49.27,8.637
tm192405,Gattaca,MOVIE,1997,106,"scifi, thriller, romance, drama",US,7.8,300701.0,17.789,7.553
tm116655,Léon: The Professional,MOVIE,1994,111,"crime, drama, action, thriller, european","US, FR",8.5,1137357.0,51.406,8.323
ts21567,Gilmore Girls,SHOW,2000,46,"comedy, drama",US,8.2,121462.0,58.578,7.827
tm116488,Natural Born Killers,MOVIE,1994,118,"thriller, drama, crime, action",US,7.3,11.0,21.933,7.1
tm11556,The Quick and the Dead,MOVIE,1995,107,"action, thriller, western, romance","JP, US",6.5,93767.0,13.056,6.5
tm56574,You've Got Mail,MOVIE,1998,119,"comedy, romance, drama",US,6.7,211635.0,21.724,6.643
ts20960,Power Rangers,SHOW,1993,22,"action, scifi, fantasy, family",US,6.5,22110.0,19.699,6.8
tm53991,Big Daddy,MOVIE,1999,93,"drama, comedy, european",US,6.4,215053.0,26.848,6.45
tm49178,Vampires,MOVIE,1998,104,"fantasy, action, horror, thriller",US,6.1,58670.0,10.108,6.3
ts25252,Yu-Gi-Oh!,SHOW,1998,22,"scifi, action, family, fantasy, animation, comedy, drama",JP,7.3,21113.0,33.504,7.358
tm191989,Donnie Brasco,MOVIE,1997,127,"drama, thriller, crime",US,7.7,303868.0,22.225,7.5
ts22193,The Magic School Bus,SHOW,1994,26,"animation, scifi, comedy, family, fantasy","CA, US",7.8,9829.0,16.83,7.8
ts22489,Goosebumps,SHOW,1995,22,"scifi, thriller, family, fantasy, horror, music","US, CA",7.6,13493.0,63.687,7.9
ts21034,InuYasha,SHOW,2000,25,"scifi, action, fantasy, romance, animation, comedy, drama",JP,7.9,15823.0,62.355,8.6
tm121879,A River Runs Through It,MOVIE,1992,123,drama,US,7.2,59854.0,19.58,7.1
tm44402,"Girl, Interrupted",MOVIE,1999,127,"drama, european","DE, US",7.3,183154.0,20.424,7.6
tm187187,Last Action Hero,MOVIE,1993,131,"action, fantasy, comedy, family",US,6.4,150498.0,22.196,6.379
ts16919,All That,SHOW,1994,22,"comedy, family, music",US,7.5,7718.0,6.688,8.4
tm6859,My Girl,MOVIE,1991,103,"drama, family, romance, comedy, european",US,6.9,80590.0,20.545,7.4
tm118238,Wyatt Earp,MOVIE,1994,191,"western, crime, action, drama",US,6.7,50774.0,14.677,6.751
tm111163,Eraser,MOVIE,1996,115,"thriller, action, drama, crime","US, CA",6.1,110921.0,19.437,6.0
tm190835,Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,87,"action, drama, animation, scifi, fantasy",JP,8.0,53152.0,32.569,8.4
tm192769,Vegas Vacation,MOVIE,1997,94,comedy,US,5.9,49377.0,12.537,6.1
tm187791,In the Line of Fire,MOVIE,1993,128,"drama, thriller, crime, action",US,7.2,102916.0,19.8,6.973
tm113576,Little Women,MOVIE,1994,115,"drama, romance, family",US,7.3,58178.0,13.683,7.314
tm65686,U.S. Marshals,MOVIE,1998,131,"thriller, crime, action",US,6.5,105286.0,24.205,6.5
ts8570,Barney & Friends,SHOW,1992,28,"comedy, family",US,3.8,9624.0,14.641,4.9
tm191387,Anaconda,MOVIE,1997,89,"horror, thriller, action","PE, US, BR",4.8,104213.0,34.405,5.1
ts27693,Kenan & Kel,SHOW,1996,25,"family, comedy",US,7.8,15620.0,33.544,8.3
tm19494,The Replacements,MOVIE,2000,118,"comedy, sport",US,6.6,64771.0,30.982,6.6
tm191772,Seven Years in Tibet,MOVIE,1997,136,"action, drama, history, war",US,7.1,142903.0,13.766,7.2
tm12499,The Net,MOVIE,1995,114,"thriller, action, crime, drama",US,5.9,66667.0,15.935,6.0
tm186589,Cliffhanger,MOVIE,1993,112,"action, thriller, comedy, animation","IT, US, FR",6.5,128972.0,27.78,6.5
tm189764,Menace II Society,MOVIE,1993,97,"drama, crime, thriller",US,7.5,58179.0,13.928,7.542
tm10739,Johnny Mnemonic,MOVIE,1995,97,"action, drama, scifi, thriller","CA, US",5.6,71563.0,10.75,5.7
tm1822,3 Ninjas Kick Back,MOVIE,1994,93,"comedy, family, action, sport","JP, US",4.5,9321.0,12.603,5.5
tm55369,Edge of Seventeen,MOVIE,1998,104,"romance, drama, comedy",US,6.8,6549.0,6.276,6.5
tm192431,The Devil's Own,MOVIE,1997,107,"crime, thriller, drama, action, european",US,6.2,65323.0,12.863,6.1
ts22286,Cardcaptor Sakura,SHOW,1998,25,"scifi, animation, action, comedy, drama, family, fantasy, romance",JP,8.0,5008.0,35.757,8.7
tm192199,Spawn,MOVIE,1997,96,"scifi, action, drama, horror",US,5.2,68184.0,16.989,5.343
ts11397,Adventures of Sonic the Hedgehog,SHOW,1993,22,"scifi, animation, action, comedy, family, fantasy, western",US,6.2,3902.0,13.313,6.3
tm56033,Croupier,MOVIE,1998,94,"drama, european, crime","IE, GB, DE, FR",7.0,21599.0,8.381,6.8
ts21581,Girlfriends,SHOW,2000,21,"drama, comedy",US,7.2,4528.0,12.163,7.7
tm117488,The Next Karate Kid,MOVIE,1994,107,"action, drama, family, sport, romance",US,4.5,30422.0,20.185,5.318
tm190811,Geronimo: An American Legend,MOVIE,1993,115,"western, history, drama",US,6.5,11709.0,8.136,6.3
tm191431,Double Team,MOVIE,1997,93,"action, scifi, comedy, thriller","HK, US",4.8,34396.0,14.599,5.1
tm10811,Heavy,MOVIE,1995,105,"drama, romance",US,6.8,5047.0,3.308,6.8
tm49839,The Players Club,MOVIE,1998,104,"comedy, drama",US,5.9,6676.0,9.25,6.3
ts20918,The Parkers,SHOW,1999,19,comedy,US,6.8,2377.0,5.745,8.1
ts21693,"Sister, Sister",SHOW,1994,22,"comedy, drama, family",US,6.2,12657.0,21.489,7.5
ts20939,Moesha,SHOW,1996,21,"drama, comedy, family",US,5.8,3747.0,10.901,7.0
ts21684,Heartbreak High,SHOW,1994,45,"drama, romance, comedy",AU,7.8,3139.0,7.222,7.3
ts22080,Oggy and the Cockroaches,SHOW,1999,9,"animation, comedy, family, action, european",FR,7.4,4281.0,40.189,7.5
tm67635,Kuch Kuch Hota Hai,MOVIE,1998,185,"romance, comedy, drama",IN,7.6,52036.0,12.35,7.7
tm320211,Children of God,MOVIE,1994,63,documentation,GB,6.3,612.0,0.685,6.4
tm7073,Knight Rider 2000,MOVIE,1991,91,"action, scifi",US,4.5,3207.0,7.945,5.1
ts28516,Okupas,SHOW,2000,40,"drama, crime",AR,9.0,2399.0,8.565,8.8
tm117873,Hum Aapke Hain Koun..!,MOVIE,1994,206,"drama, romance, comedy",IN,7.5,21123.0,6.314,6.5
tm55100,Dil Se..,MOVIE,1998,163,"drama, romance",IN,7.5,28586.0,7.811,6.8
tm64817,Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998,75,"comedy, documentation",US,7.9,5879.0,5.822,7.6
