id,person_id,name,role
tm98978,80677,Jeffrey Kleiser,ACTOR
tm98978,66492,Gus Mercurio,ACTOR
tm98978,80678,Elva Josephson,ACTOR
tm98978,80679,Glenn Kohan,ACTOR
tm98978,80680,Bradley Pryce,ACTOR
tm98978,80681,Chad Timmerman,ACTOR
tm98978,80682,Gert Jacoby,ACTOR
tm98978,80683,Alex Hamilton,ACTOR
tm98978,80684,Richard Evanson,ACTOR
tm98978,28692,Randal Kleiser,DIRECTOR
tm44204,16024,Gregory Peck,ACTOR
tm44204,16485,David Niven,ACTOR
tm44204,16350,Anthony Quinn,ACTOR
tm44204,29175,Stanley Baker,ACTOR
tm44204,16352,Anthony Quayle,ACTOR
tm44204,29176,James Darren,ACTOR
tm44204,21795,Irene Papas,ACTOR
tm44204,29177,Gia Scala,ACTOR
tm44204,29178,James Robertson Justice,ACTOR
tm44204,4431,Richard Harris,ACTOR
tm44204,29179,Bryan Forbes,ACTOR
tm44204,29180,Allan Cuthbertson,ACTOR
tm44204,16493,Michael Trubshawe,ACTOR
tm44204,27914,Percy Herbert,ACTOR
tm44204,16882,George Mikell,ACTOR
tm44204,11738,Walter Gotell,ACTOR
tm44204,13701,Tutte Lemkow,ACTOR
tm44204,29181,Albert Lieven,ACTOR
tm44204,29182,Norman Wooland,ACTOR
tm44204,613906,Kleo Skouloudi,ACTOR
tm44204,29184,Nicholas Papakonstantinou,ACTOR
tm44204,29185,Christopher Rhodes,ACTOR
tm44204,13433,William Hoehne Jr.,ACTOR
tm44204,29187,J. Lee Thompson,DIRECTOR
tm67378,26187,Burt Lancaster,ACTOR
tm67378,35196,Lee Marvin,ACTOR
tm67378,24126,Robert Ryan,ACTOR
tm67378,36499,Woody Strode,ACTOR
tm67378,16444,Jack Palance,ACTOR
tm67378,16488,Claudia Cardinale,ACTOR
tm67378,12463,Ralph Bellamy,ACTOR
tm67378,62767,Joe De Santis,ACTOR
tm67378,62768,Rafael Bertrand,ACTOR
tm67378,62769,Jorge Martínez de Hoyos,ACTOR
tm67378,62770,Marie Gomez,ACTOR
tm67378,57746,José Chávez,ACTOR
tm67378,127918,Carlos Romero,ACTOR
tm67378,23699,Vaughn Taylor,ACTOR
tm67378,534965,Elizabeth Campbell,ACTOR
tm67378,1461646,Don Carlos,ACTOR
tm67378,58919,Leigh Chapman,ACTOR
tm67378,80218,Roberto Contreras,ACTOR
tm67378,2209884,Dirk Evans,ACTOR
tm67378,539684,Darwin Lamb,ACTOR
tm67378,227842,Eddie Little Sky,ACTOR
tm67378,2209736,John Lopez,ACTOR
tm67378,101889,John McKee,ACTOR
tm67378,534354,Philip L. Parslow,ACTOR
tm67378,650832,Ron Veto,ACTOR
tm67378,23705,Richard Brooks,DIRECTOR
tm69997,25707,Richard Pryor,ACTOR
tm69997,191724,Jennifer Lee Pryor,ACTOR
tm69997,65063,Jeff Margolis,DIRECTOR
tm16479,25056,Bing Crosby,ACTOR
tm16479,60326,Danny Kaye,ACTOR
tm16479,74992,Rosemary Clooney,ACTOR
tm16479,74993,Vera-Ellen,ACTOR
tm16479,41874,Dean Jagger,ACTOR
tm16479,27535,Mary Wickes,ACTOR
tm16479,74994,John Brascia,ACTOR
tm16479,74995,Anne Whitfield,ACTOR
tm16479,74996,Bea Allen,ACTOR
tm16479,36157,Frank Baker,ACTOR
tm16479,74997,Glen Cargyle,ACTOR
tm16479,25098,George Chakiris,ACTOR
tm16479,100934,Barrie Chase,ACTOR
tm16479,1023889,Lorinne Crawford,ACTOR
tm16479,22477,Franklyn Farnum,ACTOR
tm16479,14166,Bess Flowers,ACTOR
tm16479,36504,Gavin Gordon,ACTOR
tm16479,422099,Johnny Grant,ACTOR
tm16479,57838,Percy Helton,ACTOR
tm16479,88997,I. Stanford Jolley,ACTOR
