id,title,type,release_year,runtime,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,actor_ids,director_ids
ts21715,Thomas & Friends,SHOW,1984,10,"animation, family, comedy, fantasy, drama, action, music",GB,6.5,5104.0,42.196,6.5,1381431,
ts20678,Saved by the Bell,SHOW,1989,23,"family, comedy, romance",US,7.1,35034.0,19.855,8.0,"201, 53237, 49815, 81048, 66271",
tm145608,Awakenings,MOVIE,1990,120,"drama, european",US,7.8,139240.0,12.23,7.8,"1096967, 1608456, 1096969, 9482, 1097101, 7694, 903183, 364686, 8467, 1096985, 17434, 11546, 1159504, 1096986, 1096987, 3748, 477228, 11567, 418353, 3769, 34237, 7244, 18895, 18896, 18897, 18898, 18899, 18900, 18901, 18902, 18903, 3288, 18904, 18905, 18906, 18908, 18909, 18910, 18907, 8416, 18911, 18912, 18914, 18915, 18916, 18917, 18918, 18919, 18920, 18921, 18922, 18923, 1005, 14445, 2671, 84053, 487523, 16244, 40059, 17151",18924
ts25028,Wheel of Fortune,SHOW,1983,26,family,US,6.7,3145.0,5.935,6.8,"421000, 129833",
tm147710,National Lampoon's Christmas Vacation,MOVIE,1989,97,"comedy, european",US,7.5,185760.0,18.862,7.2,"12800, 12801, 12802, 12803, 12804, 12805, 12806, 12807, 12808, 12809, 12810, 12811, 12812, 12429, 12813, 1103242, 48269, 6802, 12691, 444827, 631709, 59439, 1236530, 10549, 1236410, 84540, 1236542, 4700, 8035, 12018",12814
tm142895,Lean On Me,MOVIE,1989,105,drama,US,7.4,20680.0,19.449,7.3,"18306, 18055, 17814, 102294, 118811, 118812, 118813, 118814, 118815, 25768, 89398, 11063, 6329, 11583, 198, 21063, 113229, 26321, 3292, 40159, 8422, 9450, 86521, 27646",7782
tm20712,Eddie Murphy Raw,MOVIE,1987,90,"comedy, documentation",US,7.6,19757.0,7.992,7.3,"108288, 108289, 450236, 108291, 17348, 17797, 108294, 108293, 108295, 108296, 108292, 62732, 50586, 5658, 1852, 18911",73538
tm117580,She's Gotta Have It,MOVIE,1986,84,"romance, comedy",US,6.7,14472.0,7.416,6.707,"466433, 34819, 503706, 122523, 7328, 61222, 116391, 200487, 207275, 492716, 916018, 916019, 916020, 916022, 1475403, 31566, 1475406, 16721, 532433, 366935, 1476065, 1476067, 1476069, 1475429, 422646, 47097, 477562",31566
ts23753,Major Dad,SHOW,1989,24,"comedy, family",US,6.5,2922.0,9.849,6.5,"192, 66339, 47978, 9835, 96173, 97165, 38704, 37759",
tm130586,Endless Love,MOVIE,1981,116,"romance, drama",US,4.9,8524.0,19.116,5.7,"36355, 15943, 91112, 7051, 1393387, 14989, 3535, 213872, 18609, 1848, 30162, 466996, 507509, 21302, 35576",32357
ts987,Danger Mouse,SHOW,1981,14,"animation, comedy, family, scifi, european",GB,7.4,3545.0,8.55,7.5,"43162, 18355, 99172, 99173",
